x_panel,y_panel,group
0.6540149111286228,0.6437480641870684,Social Business
0.2811450781455214,0.6542426820464533,Baseline
0.695691378819718,0.646953094789705,Social Business
0.7127481043691445,0.6607464971751412,Social Business
0.7100068601698626,0.6159645786252355,Public Outdoor
0.678150927020401,0.6687853562460766,Social Business
0.3177515804220296,0.5970509973320779,Public Outdoor
0.39994882781717894,0.7176147096672945,Public Outdoor
0.7162109458453726,0.7260781536409291,Public Outdoor
0.7279075551615446,0.7024243581293157,Public Outdoor
0.6964798726030995,0.42497628923414943,Social Business
0.3398682908676999,0.07658313245448856,Public Outdoor
0.28151043034760537,0.5978539296924044,Social Business
0.6623222911741529,0.30347111660389214,Baseline
0.6162872975221084,0.2265502079409919,Public Outdoor
0.7032069641449961,0.6286105108286253,Social Business
0.4744934889676911,0.5547954598242311,Social Business
0.8121985235531038,0.5749094365976146,Social Business
0.7846823143770248,0.5800590583804144,Social Business
0.6525445057350495,0.5858058772755808,Social Business
0.6445442310218019,0.5855723242310107,Social Business
0.6144802370633043,0.502567437225361,Community
0.17361910734611682,0.5600181442247333,Community
0.9244661489799492,0.6763409384808537,Social Business
0.27602019306540587,0.5978386377903329,Social Business
0.7283975078802206,0.6505066376333961,Public Outdoor
0.3371339954907627,0.704938359227872,Social Business
0.5340463510200508,0.5388369734777151,Social Business
0.5811667936257771,0.5807277754237288,Community
0.44921116036249015,0.5779252267733836,Community
0.4284320079239997,0.584582700878845,Social Business
0.4842413634970668,0.567391914626491,Social Business
0.42468819280273185,0.5834107729127433,Community
0.46838716290167237,0.5797480147520402,Baseline
0.6717054373522459,0.5797427903327057,Community
0.6506995840994658,0.6445163928123039,Community
0.04542413974257946,0.18057865034526066,Public Outdoor
0.1697191106295421,0.8208510616760829,Public Outdoor
0.5565489810436914,0.5615757854676711,Social Business
0.07748032352683652,0.5112591062460767,Public Outdoor
0.07111889282899922,0.5069324780288764,Social Business
0.45980630089309177,0.6509504504080352,Social Business
0.3540907746694686,0.593533882611425,Social Business
0.3307926396550215,0.7162890521029504,Social Business
0.6450288087733124,0.5829134039548023,Community
0.7797178125820856,0.5147376577212807,Community
0.5269068514140619,0.538098955586943,Social Business
0.42039879060502583,0.5324991164469555,Public Outdoor
0.5180889447071185,0.5222519452291275,Community
0.5026224279835392,0.5122610138104207,Community
0.7077801166710446,0.6270472708725675,Social Business
0.7582062308466859,0.5570086699623353,Community
0.6003161052009456,0.5750893879472694,Baseline
0.6787739733823658,0.3108040230696799,Social Business
0.46197480846685934,0.6657673979912115,Public Outdoor
0.4516985738989581,0.6475275604205901,Baseline
0.6413225921548026,0.5875611817325801,Community
0.5534171208738289,0.8043008427495292,Public Outdoor
0.07562260200507837,0.5874687201820465,Public Outdoor
0.43815683499693553,0.6630923532642812,Baseline
0.42261278784694867,0.6732209070935342,Baseline
0.39465319696173723,0.679267632611425,Public Outdoor
0.527630342132913,0.5481728499686127,Baseline
0.6387014447071184,0.5323314618644068,Public Outdoor
0.2266191533140706,-0.04444790960451961,Public Outdoor
0.47560089528062344,0.5774341698053986,Social Business
0.4274508591629455,0.5815289861895795,Baseline
0.33234889676910956,0.8038871978970497,Public Outdoor
0.3302361921022678,0.8322061401443817,Social Business
0.3418126805883898,0.8856756457940992,Social Business
0.6923630636546712,0.6156939171374765,Social Business
0.18015051987566766,0.5091855845888262,Baseline
0.6184896769109535,0.635794803829253,Baseline
0.27615816697311973,-0.032570928279974876,Baseline
0.6517054920760003,0.591248688794727,Social Business
0.5210445954820069,0.6554796374764595,Community
0.5954558970317835,0.517871253923415,Public Outdoor
0.43833209548200686,0.6639834023854363,Community
0.42034736122055866,0.8007660075329567,Community
0.6686464845460117,0.6236399780288764,Community
0.29798654342877157,0.23425612602008794,Baseline
0.37249585412836006,0.7007629409918393,Public Outdoor
0.4427251685491639,0.6609245338983052,Public Outdoor
0.4080755811662727,0.5876888794726931,Community
0.5315503721215306,0.5350755586942876,Social Business
0.3229778478241836,0.841466912272442,Social Business
0.45314858703265914,0.5235350753295669,Community
0.5500586408808336,0.6451873108913999,Community
0.3305832578145522,0.830564344005022,Social Business
0.7613365368619209,0.5955613692718142,Social Business
0.2694652383766746,0.5744661283741369,Public Outdoor
0.43909928968566675,0.6647217380728185,Public Outdoor
0.5679402832501532,0.7569494562146892,Social Business
0.44721986143945364,0.6567370621468926,Community
0.37113083136327824,0.7364314226302574,Community
0.8263681792312407,0.39854990426867554,Community
0.4195350429034236,0.7557679386377903,Public Outdoor
0.8586018463794763,0.7347605445699937,Community
0.5676465239471149,0.480611056183302,Social Business
0.42779916491550657,0.6699560710922787,Social Business
0.4290730080553367,0.6686816548964218,Social Business
0.4575814398914281,0.7122066902071563,Public Outdoor
0.554949633350845,0.6993874521343377,Community
0.6975657100954382,0.47496500078468307,Baseline
0.6519136667104456,0.5747643934400503,Public Outdoor
0.6798342231415814,0.6186946704331451,Social Business
0.2717709252692409,0.6069895558694287,Baseline
0.4825631829524561,0.6274718573446327,Social Business
0.49988287255932057,0.6446999034839924,Social Business
0.7021629968916907,0.6317728021029504,Social Business
0.3440414729445758,0.5922126216258632,Social Business
0.610311219464145,0.5742753381983678,Public Outdoor
0.5095739788547413,0.5153030367231639,Community
0.6522683116627265,0.5963628123038294,Public Outdoor
0.5508043910340601,0.4071197849968614,Public Outdoor
0.07053471346642151,0.13045029268675468,Public Outdoor
0.6112405207512477,0.5281909086629002,Public Outdoor
0.6678167148235705,0.6051458152856246,Social Business
0.5391194192715174,0.7069790324858758,Public Outdoor
0.32991867502845634,0.8314478648775895,Social Business
0.3395485509149812,0.8003701475204017,Baseline
0.7354296952981351,0.5781651898932831,Social Business
0.15653994067945018,0.5700416313559322,Community
0.2712937253743105,0.611629928593848,Public Outdoor
0.3595439574030295,0.590018157564344,Community
0.6068131687242798,0.5938799937225362,Community
0.6726376368093863,0.62374072740113,Community
0.6118019503546098,0.2888800023540491,Public Outdoor
0.2915840327029157,0.23270809871312004,Community
0.755870816916207,0.2775875533584432,Public Outdoor
0.7238209821819456,0.5176923108913999,Community
0.5527756369845023,0.5642772206528563,Baseline
0.42035583464670345,0.6750454378531074,Community
0.5226512695911042,0.5391877919020717,Social Business
0.6736634073198493,0.6010531410860013,Baseline
0.7481112063304439,0.5970308035153797,Social Business
0.5024813545223711,0.5387550776836159,Community
0.5025592833377113,0.5402753327055869,Community
0.4801440394886613,0.7087576200564971,Social Business
0.49820469310918486,0.7352254967043315,Public Outdoor
0.46335117327729625,0.7507249168236032,Social Business
0.5415670781893004,0.5352503962649091,Public Outdoor
0.6720313370107696,0.6214137649089768,Social Business
0.6654531597495841,0.6025796625863151,Community
0.6197110279310042,0.6269822057438795,Community
0.42021681004290345,0.7985649882297552,Social Business
0.350797280229402,0.7932199089767734,Public Outdoor
0.6139234108221697,0.5911202832705588,Public Outdoor
0.4580769711496367,0.6845126569365976,Public Outdoor
0.6523731995884774,0.22155109070935353,Social Business
0.5330682350494703,0.4719050125549279,Baseline
0.5743050750809912,0.807424405994978,Social Business
0.31401346094912885,0.8922160420590082,Community
0.8070727377199896,0.3799997716572505,Social Business
0.6905026015672884,0.50193585608914,Public Outdoor
0.2844735509149812,0.6241882022912744,Social Business
0.3413326284913756,0.2707660318581294,Community
0.6774824566587865,0.3070334745762713,Community
0.6315563621836967,0.5875591737288137,Community
0.3178914718501007,0.06578057595731324,Baseline
0.5927793932230102,0.4543856473634652,Community
0.5822039707556257,0.580189935655995,Community
0.5831312472638123,0.5798807744821093,Community
0.45262637466071276,0.5247557595731325,Community
0.09643690570002626,0.18846826506591352,Public Outdoor
0.09671744921635583,0.19205618957941006,Baseline
0.45230046952981356,0.5192504849340867,Community
0.07376064924262324,0.5899700988700565,Community
0.4647322530864198,0.5513083411801633,Public Outdoor
0.7075441642588215,0.6591655484934087,Community
0.2402918056650031,0.8331139704959196,Public Outdoor
0.7123369801243323,0.5032783984620215,Social Business
0.7788582162244987,0.50850046217828,Baseline
0.4480103964188775,0.6894227456057753,Baseline
0.5873175947815428,0.6751043071249215,Public Outdoor
0.7415737577707732,0.6546751718455743,Public Outdoor
0.6903924130986779,0.6188554551161332,Baseline
0.46388660362490153,0.5679228413370999,Social Business
0.22935887728745297,0.7893029143126178,Public Outdoor
0.1645791524384905,0.7193235969868174,Social Business
0.6713693032571579,0.41903421453232903,Baseline
0.37163718479117414,0.5909089187068426,Community
0.3712289007092199,0.5908273132454489,Community
0.4933587371946415,0.18687281151914648,Community
0.6325393792137292,0.6700545056497176,Public Outdoor
0.4854456144383154,0.568643557752668,Public Outdoor
0.4304317386831276,0.5044279119585688,Community
0.4337599969354698,0.5023028350596359,Community
0.9277039871727519,0.7781070354676711,Public Outdoor
0.543421365248227,0.5745085938480854,Baseline
0.6521921657473075,0.5525197300690522,Social Business
0.48869367612293146,0.5759430273069681,Social Business
0.3620591312056738,0.7623235985561834,Public Outdoor
0.6138331899570966,0.5517864979598244,Community
0.6170236516066895,0.5562827534526051,Social Business
0.6180164160318711,0.5545678774325173,Social Business
0.3757972036161457,0.5894816031073447,Community
0.46176510703966384,0.5635809439736348,Public Outdoor
0.5573178629279397,0.6612895817639675,Public Outdoor
0.4437814223798267,0.6601921665097301,Social Business
0.6738040769197093,0.6251232854676712,Community
0.5478668231766046,0.46253831999372264,Community
0.6935249419928202,0.6210794318895168,Social Business
0.5510328692758953,0.3636687162586316,Baseline
0.565361730584012,0.26794448681732597,Community
0.3001940471499869,0.23960239720652865,Baseline
0.43674651628578937,0.3940866941305714,Community
0.5305361111111111,0.6513584078782172,Social Business
0.6942522206899571,0.5933608270558695,Community
0.617000085369057,0.24229970417451352,Community
0.5961773947114963,0.6046689147834275,Community
0.16943687724367396,0.5070926616446956,Social Business
0.4339990686016987,0.587691054613936,Community
0.6181580991156641,0.5542721249215318,Community
0.6521681135627353,0.6445799466415568,Community
0.6492452992294895,0.6377041627432518,Community
0.6611231382978724,0.5526819695543002,Public Outdoor
0.5744471554592417,0.5868012798179536,Community
0.7440393803082042,0.5155035553986189,Baseline
0.06132760703966378,0.5899127432517264,Public Outdoor
0.5298171788810088,0.6817246924042687,Community
0.6166069148936171,0.6792636707470182,Community
0.4453154156816391,0.6576806803201507,Social Business
0.5114965666316434,0.5864970935342122,Social Business
0.47822312078627094,0.5743869923101068,Community
0.5547949621311619,0.6535328468298808,Public Outdoor
0.5990789740390509,0.34055482736974263,Community
0.6047435305577445,0.5400604339296924,Baseline
0.19532633635408458,0.5352348501255493,Public Outdoor
0.34622813348218195,0.7880577228499686,Community
0.5986535756501182,0.5760684384808538,Social Business
0.7319290758252341,0.6758915701506591,Community
0.44354022743192373,0.5535871468926554,Public Outdoor
0.6675745359425619,0.6332368228185813,Community
0.3930116813326329,0.42273125,Community
0.4366122406094038,0.5186552864092907,Social Business
0.4327755253480431,0.5158094703389831,Public Outdoor
0.5085060196129937,0.561012302259887,Community
0.4565382661325629,0.7115995574387948,Baseline
0.45869709964101224,0.48652560499058384,Community
0.6212659246125558,0.5873739728499687,Community
0.6545987884160757,0.643651641556811,Community
0.24391431463969881,0.6006757603578154,Community
0.32871806978373175,0.07613556732580051,Community
0.24401222090885216,0.6413012264595104,Baseline
0.35141737916995014,0.7855917780916509,Social Business
0.48219073198494006,0.7448493322347771,Community
0.7132873161281849,0.6241054763025737,Social Business
0.6713763188424832,0.6585957807595731,Social Business
0.3264039740390509,0.719080921217828,Social Business
0.7285881906137817,0.5954374929378532,Community
0.47739895258733916,0.5446419672002512,Public Outdoor
0.47785716224498737,0.744741123666039,Social Business
0.46492799776727084,0.48695149403640936,Community
0.5061537584274582,0.18629679221594486,Community
